"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US37111","McDowell County, North Carolina","0.4415","0.0247"
"0500000US37101","Johnston County, North Carolina","0.4148","0.0112"
"0500000US37103","Jones County, North Carolina","0.4662","0.0353"
"0500000US37145","Person County, North Carolina","0.4414","0.0211"
"0500000US37019","Brunswick County, North Carolina","0.4461","0.0099"
"0500000US37009","Ashe County, North Carolina","0.4470","0.0289"
"0500000US37013","Beaufort County, North Carolina","0.4875","0.0197"
"0500000US37107","Lenoir County, North Carolina","0.4653","0.0241"
"0500000US37161","Rutherford County, North Carolina","0.4601","0.0158"
"0500000US37109","Lincoln County, North Carolina","0.4575","0.0131"
"0500000US37133","Onslow County, North Carolina","0.4034","0.0147"
"0500000US37135","Orange County, North Carolina","0.5194","0.0161"
"0500000US37163","Sampson County, North Carolina","0.4817","0.0247"
"0500000US37197","Yadkin County, North Carolina","0.4292","0.0184"
"0500000US37011","Avery County, North Carolina","0.4715","0.0260"
"0500000US37023","Burke County, North Carolina","0.4623","0.0175"
"0500000US37033","Caswell County, North Carolina","0.4336","0.0267"
"0500000US37059","Davie County, North Carolina","0.4494","0.0273"
"0500000US37061","Duplin County, North Carolina","0.4408","0.0162"
"0500000US37063","Durham County, North Carolina","0.4750","0.0076"
"0500000US37105","Lee County, North Carolina","0.4405","0.0164"
"0500000US37129","New Hanover County, North Carolina","0.4917","0.0084"
"0500000US37191","Wayne County, North Carolina","0.4707","0.0197"
"0500000US37165","Scotland County, North Carolina","0.4639","0.0137"
"0500000US37083","Halifax County, North Carolina","0.4969","0.0217"
"0500000US37001","Alamance County, North Carolina","0.4600","0.0119"
"0500000US38013","Burke County, North Dakota","0.4247","0.0307"
"0500000US38061","Mountrail County, North Dakota","0.4752","0.0312"
"0500000US38105","Williams County, North Dakota","0.4397","0.0316"
"0500000US38007","Billings County, North Dakota","0.4494","0.0550"
"0500000US38043","Kidder County, North Dakota","0.4679","0.0484"
"0500000US38019","Cavalier County, North Dakota","0.4774","0.0511"
"0500000US38037","Grant County, North Dakota","0.5165","0.0542"
"0500000US38067","Pembina County, North Dakota","0.4405","0.0292"
"0500000US38091","Steele County, North Dakota","0.4160","0.0462"
"0500000US38041","Hettinger County, North Dakota","0.4832","0.0408"
"0500000US38045","LaMoure County, North Dakota","0.4697","0.0358"
"0500000US38059","Morton County, North Dakota","0.4587","0.0338"
"0500000US38017","Cass County, North Dakota","0.4708","0.0147"
